# Summary of catch at age: 
#   
# Estimates are extracted from: SILD'G032018.fit.2018_allgears_totalarea_season1234 
# based on fitted object: SILD'G032018.fit 
#   
# Catch at age is summed over: 
# years: 2018 
# areas: 0 4 5 6 7 12 28 30 34 36 37 
# gears: 35 37 
# seasons: 1 2 3 4 
# total used catch: 332026.527 tons 
# total reported catch: 332026.527 tons  
#Catch at age (millions) 
age	mean	sd	5%	95%
1	1.26476	1.10546	0.41469	3.82973
2	22.13047	6.06778	13.95277	32.99005
3	19.19334	4.78652	11.73463	27.77784
4	46.58943	7.80923	34.67882	60.52001
5	199.08133	16.17191	172.55019	225.59363
6	104.17949	12.26991	86.17991	126.13621
7	116.45179	12.80984	97.27415	139.40195
8	52.99101	8.16023	40.43767	66.63964
9	119.06279	13.96787	97.48063	143.8824
10	32.42265	6.30338	22.81068	43.36416
11	19.15882	4.76624	12.73966	28.15636
12	122.63215	13.96101	99.85978	145.78796
13	24.2115	6.66683	16.42366	37.28161
14	99.69331	11.90317	81.20145	120.41671
# 15+	22.31132	5.34857	15.98314	32.43584
# Mean age in catch 
# mean	sd	5%	95%
# 8.28529	0.11704	8.09164	8.47574
#   
# Length at age (cm) 
# age	mean	sd	5%	95%
# 1	19.66489	0.631	18.4601	20.41976
# 2	24.38926	0.16963	24.12495	24.68118
# 3	27.54763	0.12377	27.36893	27.76409
# 4	29.36964	0.15376	29.11475	29.60422
# 5	31.05845	0.09073	30.90782	31.20337
# 6	32.65527	0.11513	32.48845	32.83237
# 7	33.59938	0.1058	33.42678	33.77232
# 8	34.28382	0.1302	34.09591	34.48669
# 9	34.70847	0.1143	34.52782	34.90635
# 10	35.1185	0.15913	34.88496	35.36151
# 11	35.22125	0.18396	34.98171	35.52745
# 12	35.42322	0.11355	35.25851	35.61022
# 13	35.49037	0.19158	35.20809	35.76632
# 14	35.60031	0.12538	35.40324	35.7935
# 15+	35.63508	0.13917	35.41563	35.8676
# Mean length in catch 
# mean	sd	5%	95%
# 33.22759	0.09897	33.05879	33.38517
#    
# Weight at age (g) 
# age	mean	sd	5%	95%
# 1	66.05692	5.70244	55.81505	74.01958
# 2	125.96708	3.23586	120.79204	131.70499
# 3	183.82203	3.23056	178.89127	189.43554
# 4	222.61978	4.51061	214.97655	229.67283
# 5	262.32146	3.08736	257.60795	267.69154
# 6	310.08165	4.36224	303.11406	316.74558
# 7	337.97039	4.32988	331.11821	345.15463
# 8	359.63236	5.49035	351.2089	368.04191
# 9	372.25635	4.81161	364.6164	380.07353
# 10	388.74266	7.19957	378.61119	400.78539
