ID,Field Name,R Name,NoNinput
DE,DEid,DEid,T
DE,DErecordType,DErecType,F
DE,DEsamplingScheme,DEsampScheme,F
DE,DEsamplingSchemeType,DEsampSchemeType,F
DE,DEyear,DEyear,F
DE,DEstratumName,DEstratumName,F
DE,DEhierarchyCorrect,DEhierarchyCor,F
DE,DEhierarchy,DEhierarchy,F
TE,TEid,TEid,T
TE,SDid,SDid,T
TE,LOid,LOid,T
TE,VSid,VSid,T
TE,TErecordType,TErecType,F
TE,TEsequenceNumber,TEseqNum,F
TE,TEstratification,TEstratification,F
TE,TEtimeUnit,TEtimeUnit,F
TE,TEstratumName,TEstratumName,F
TE,TEclustering,TEclustering,F
TE,TEclusterName,TEclusterName,F
TE,TEsampler,TEsampler,F
TE,TEnumberTotal,TEnumTotal,F
TE,TEnumberSampled,TEnumSamp,F
TE,TEselectionProb,TEselProb,F
TE,TEinclusionProb,TEincProb,F
TE,TEselectionMethod,TEselectMeth,F
TE,TEunitName,TEunitName,F
TE,TEselectionMethodCluster,TEselectMethCluster,F
TE,TEnumberTotalClusters,TEnumTotalClusters,F
TE,TEnumberSampledClusters,TEnumSampClusters,F
TE,TEselectionProbCluster,TEselProbCluster,F
TE,TEinclusionProbCluster,TEincProbCluster,F
TE,TEsampled,TEsamp,F
TE,TEreasonNotSampled,TEnoSampReason,F
LO,LOid,LOid,T
LO,SDid,SDid,T
LO,LOrecordType,LOrecType,F
LO,LOsequenceNumber,LOseqNum,F
LO,LOstratification,LOstratification,F
LO,LOlocation,LOloc,F
LO,LOlocode,LOlocode,F
LO,LOstratumName,LOstratumName,F
LO,LOclustering,LOclustering,F
LO,LOclusterName,LOclusterName,F
LO,LOsampler,LOsampler,F
LO,LOnumberTotal,LOnumTotal,F
LO,LOnumberSampled,LOnumSamp,F
LO,LOselectionProb,LOselProb,F
LO,LOinclusionProb,LOincProb,F
LO,LOselectionMethod,LOselectMeth,F
LO,LOunitName,LOunitName,F
LO,LOselectionMethodCluster,LOselectMethCluster,F
LO,LOnumberTotalClusters,LOnumTotalClusters,F
LO,LOnumberSampledClusters,LOnumSampClusters,F
LO,LOselectionProbCluster,LOselProbCluster,F
LO,LOinclusionProbCluster,LOincProbCluster,F
LO,LOsampled,LOsamp,F
LO,LOreasonNotSampled,LOnoSampReason,F
SD,SDid,SDid,T
SD,DEid,DEid,T
SD,SDrecordType,SDrecType,F
SD,SDcountry,SDctry,F
SD,SDinstitution,SDinst,F
VS,VSid,VSid,T
VS,SDid,SDid,T
VS,VDid,VDid,T
VS,TEid,TEid,T
VS,VSrecordType,VSrecType,F
VS,VSsequenceNumber,VSseqNum,F
VS,VSencryptedVesselCode,VSencrVessCode,F
VS,VSstratification,VSstratification,F
VS,VSstratumName,VSstratumName,F
VS,VSclustering,VSclustering,F
VS,VSclusterName,VSclusterName,F
VS,VSsampler,VSsampler,F
VS,VSnumberTotal,VSnumTotal,F
VS,VSnumberSampled,VSnumSamp,F
VS,VSselectionProb,VSselProb,F
VS,VSinclusionProb,VSincProb,F
VS,VSselectionMethod,VSselectMeth,F
VS,VSunitName,VSunitName,F
VS,VSselectionMethodCluster,VSselectMethCluster,F
VS,VSnumberTotalClusters,VSnumTotalClusters,F
VS,VSnumberSampledClusters,VSnumSampClusters,F
VS,VSselectionProbCluster,VSselProbCluster,F
VS,VSinclusionProbCluster,VSincProbCluster,F
VS,VSsampled,VSsamp,F
VS,VSreasonNotSampled,VSnoSampReason,F
FT,FTid,FTid,T
FT,OSid,OSid,T
FT,VSid,VSid,T
FT,VDid,VDid,T
FT,SDid,SDid,T
FT,FOid,FOid,T
FT,TEid,TEid,T
FT,FTrecordType,FTrecType,F
FT,FTencryptedVesselCode,FTencrVessCode,F
