SLid,SLrecordType,SLcountry,SLinstitute,SLspeciesListName,SLyear,SLcatchFraction,SLcommercialTaxon,SLspeciesCode
1,SL,DK,1,DK_1965_SpeciesList,1965,Lan,100684,100684
2,SL,DK,1,DK_1965_SpeciesList,1965,Lan,100930,100930
3,SL,DK,1,DK_1965_SpeciesList,1965,Lan,101013,101013
4,SL,DK,1,DK_1965_SpeciesList,1965,Lan,101167,101167
5,SL,DK,1,DK_1965_SpeciesList,1965,Lan,101170,101170
6,SL,DK,1,DK_1965_SpeciesList,1965,Lan,101172,101172
7,SL,DK,1,DK_1965_SpeciesList,1965,Lan,101174,101174
8,SL,DK,1,DK_1965_SpeciesList,1965,Lan,1015724,1015724
9,SL,DK,1,DK_1965_SpeciesList,1965,Lan,1019159,1019159
10,SL,DK,1,DK_1965_SpeciesList,1965,Lan,10193,10193
11,SL,DK,1,DK_1965_SpeciesList,1965,Lan,10194,10194
12,SL,DK,1,DK_1965_SpeciesList,1965,Lan,10309,10309
13,SL,DK,1,DK_1965_SpeciesList,1965,Lan,10329,10329
14,SL,DK,1,DK_1965_SpeciesList,1965,Lan,103301,103301
15,SL,DK,1,DK_1965_SpeciesList,1965,Lan,103302,103302
16,SL,DK,1,DK_1965_SpeciesList,1965,Lan,103304,103304
17,SL,DK,1,DK_1965_SpeciesList,1965,Lan,103305,103305
18,SL,DK,1,DK_1965_SpeciesList,1965,Lan,103306,103306
19,SL,DK,1,DK_1965_SpeciesList,1965,Lan,103308,103308
20,SL,DK,1,DK_1965_SpeciesList,1965,Lan,103309,103309
